expand href,column-occurred,column-city,column-state,column-country,column-shape,column-summary,column-reported,column-hasimage,column-explanation
https://nuforc.org/sighting/?id=176495,06/28/2023 03:48,"Fort Clark Springs, Brackettville",TX,USA,Circle,"It was round disc shape and had lights that flashed simultaneously around the edge of the craft in red, yellow, and white.",06/28/2023,Y,
https://nuforc.org/sighting/?id=176500,06/28/2023 00:47,Lamont,CA,USA,Chevron,Craft was flying around 200 ft off ground on the north side of highway 5,06/28/2023,,
https://nuforc.org/sighting/?id=178256,06/27/2023 07:05,Rapperswil,Canton of St. Gallen,Switzerland,Cylinder,There was a dark mass in the sky that never moved and disappeared suddenly.,09/14/2023,Y,
https://nuforc.org/sighting/?id=176449,06/25/2023 00:00,Austin,TX,USA,Changing,Bright orb with a beam of light shooting straight up out of it,06/25/2023,,
https://nuforc.org/sighting/?id=176548,06/23/2023 22:45,Wheat Ridge,CO,USA,Light,Very Bright Light with a Craft with Flashing Lights,07/01/2023,Y,
https://nuforc.org/sighting/?id=178751,06/23/2023 03:00,Savannah,GA,USA,Orb,Blue Orb Shot up Into the Sky,10/07/2023,,
https://nuforc.org/sighting/?id=176754,06/21/2023 22:55,,CA,USA,Other,Not starlink looked like a centipede swayed side to side,07/13/2023,Y,
https://nuforc.org/sighting/?id=176368,06/19/2023 21:03,Riverview,FL,USA,Fireball,Bright orange ethereal ball hovering above the street ascends up into the sky and flys east until it disappears into the distance,06/20/2023,,
https://nuforc.org/sighting/?id=176442,06/15/2023 04:30,Southaven- Walls,MS,USA,Triangle,Silent brightly lit triangle object,06/25/2023,,
https://nuforc.org/sighting/?id=176238,06/13/2023 22:57,Pleasant Lake,IN,USA,Rectangle,"Low, slow flying dark gray rectangle with flashing lights headed north east over I-69",06/12/2023,,
https://nuforc.org/sighting/?id=181674,06/13/2023 15:52,Newark,NJ,USA,Oval,"Saw ufo as we took off from Newark, i captured it in a Timelapse video. It was moving very quickly",05/28/2024,Y,Balloon?
https://nuforc.org/sighting/?id=176261,06/12/2023 22:20,Joshua Tree,CA,USA,Cigar,UAP seen less the 100ft off ground shaped like a cigar shaped harmonica,06/13/2023,,
https://nuforc.org/sighting/?id=176232,06/12/2023 16:30,Johnston,IA,USA,Triangle,Black equilateral triangle daytime,06/12/2023,,
https://nuforc.org/sighting/?id=179530,06/09/2023 13:00,Bridgeton,MO,USA,Other,Was watching jets test fly and witnessed a pill shaped Ufo,11/30/2023,Y,
https://nuforc.org/sighting/?id=176179,06/09/2023 10:00,Tucson,AZ,USA,Disk,Saw a ufo in the sky then saw orange light and sparkles on the other side of the mountain then walked right past 2 aliens.,06/10/2023,,
https://nuforc.org/sighting/?id=176122,06/06/2023 21:00,Ardmore,AL,USA,Cylinder,Hovering craft starts fire with laser,06/07/2023,,
https://nuforc.org/sighting/?id=178538,06/04/2023 20:22,Herndon,VA,USA,Orb,Saw a shiny orb following an airplane. I took a video,10/04/2023,Y,
https://nuforc.org/sighting/?id=179863,06/04/2023 12:34,Moses Lake,WA,USA,Disk,"I saw a silvery/white flat disk low over a field, which then disappeared",12/30/2023,,
https://nuforc.org/sighting/?id=176052,06/03/2023 10:00,Bad Axe,MI,USA,Disk,There was 2 Jets afterburner full blast overtaken by this craft the jets were throwing flares (6-7) the ufo sat in the sun to hide!,06/03/2023,,
https://nuforc.org/sighting/?id=176329,06/03/2023 10:00,BadAxe,MI,USA,Disk,F16s or f35s dogfighting a UAP,06/17/2023,,
https://nuforc.org/sighting/?id=176071,06/02/2023 10:02,Hubert,NC,USA,Triangle,Green triangle appeared out of nowhere then took the hell off.,06/02/2023,,
https://nuforc.org/sighting/?id=176081,06/01/2023 21:30,New Port Richey,FL,USA,Orb,"4 orange orbs recorded , silent, same direction",06/02/2023,Y,Chinese Lantern?
https://nuforc.org/sighting/?id=176017,05/30/2023 22:27,Romeo,MI,USA,Triangle,Two extremely large triangle objects moving in the air from southwest to northeast,05/31/2023,,
https://nuforc.org/sighting/?id=176000,05/30/2023 18:20,Morgantown,WV,USA,Orb,Metallic orb flew over our house - silently and at low altitude,05/31/2023,,
https://nuforc.org/sighting/?id=176033,05/28/2023 23:00,Atlanta,GA,USA,Orb,Commercial flight crew observes burst of light during takeoff.,06/04/2023,Y,
https://nuforc.org/sighting/?id=179389,05/25/2023 23:30,Long Point,ON,Canada,Other,Large object with rounded edges that bent light from stars,11/15/2023,,
https://nuforc.org/sighting/?id=175842,05/19/2023 23:21,Redfield,AR,USA,Triangle,Huge spaceship floating over the car.,05/19/2023,,
https://nuforc.org/sighting/?id=176342,05/19/2023 14:45,Walpole,NH,USA,Triangle,2 jets chasing 1 triangular shaped aircraft.,06/18/2023,,
https://nuforc.org/sighting/?id=175892,05/19/2023 10:00,Vero Beach,FL,USA,Rectangle,Object observed in the sky I don’t believe was man made.,05/23/2023,,
https://nuforc.org/sighting/?id=175916,05/17/2023 01:30,Pahrump,NV,USA,Cross,"Bright Red and Blue flashing lights following the highway, approaching us in opposite direction observed before disappearing.",05/26/2023,,
https://nuforc.org/sighting/?id=175823,05/16/2023 19:00,Tucson,AZ,USA,Disk,Hovering UFO,05/17/2023,,
https://nuforc.org/sighting/?id=176401,05/12/2023 22:00,Chapmanville,WV,USA,Orb,"3 orbs/fireballs in triangular formation flew silently at mountain top level. Made no noise, made 90 degree left turn and disappeared",06/22/2023,Y,
https://nuforc.org/sighting/?id=176358,05/11/2023 17:00,Kelmscott/Perth,Western Australia,Australia,Triangle,Black triangle craft sitting stationary above shops.,06/19/2023,,
https://nuforc.org/sighting/?id=175884,05/06/2023 21:15,Oak Grove,MO,USA,Disk,"7-10 orange lights heading north, followed by huge flying saucer, bottom illuminated by city lights. Followed by 7-10 military choppers",05/23/2023,,
https://nuforc.org/sighting/?id=179810,05/06/2023 19:00,Howell,MI,USA,Other,"A metal craft, flat metallic bottom, white top with a red strip, no sound",01/03/2024,Y,
https://nuforc.org/sighting/?id=175638,05/04/2023 21:15,Mellieha,Mellieħa,Malta,Other,No outline of the object it was like a long worm the sky was dark 15-20 lights emitting from what appeared to be its side,05/04/2023,,Starlink
https://nuforc.org/sighting/?id=178454,05/02/2023 22:00,bagdad,AZ,USA,Unknown,Beams emitted from two crafts,09/27/2023,,
